HRmean,HRmax,HRmin,HalfHourBeforeSleep,DeepSleepBegin,LightSleep,DeepSleep
66,79,53,2022-01-11T23:34:00.000Z,2022-01-12T00:28:00.000Z,432,128
62,79,48,2022-01-12T23:12:00.000Z,2022-01-12T23:42:00.000Z,331,170
70,82,52,2022-01-14T23:39:00.000Z,2022-01-15T00:18:00.000Z,286,198
91,120,75,2022-01-15T23:43:00.000Z,2022-01-16T01:10:00.000Z,287,172
68,112,51,2022-01-17T00:04:00.000Z,2022-01-17T01:03:00.000Z,233,233
81,106,74,2022-01-18T00:05:00.000Z,2022-01-18T00:51:00.000Z,312,185
70,80,56,2022-01-18T23:23:00.000Z,2022-01-18T23:53:00.000Z,339,163
75,93,67,2022-01-20T21:55:00.000Z,2022-01-21T02:13:00.000Z,524,99
73,102,55,2022-01-21T22:48:00.000Z,2022-01-22T00:21:00.000Z,384,219
68,100,55,2022-01-23T02:33:00.000Z,2022-01-23T03:19:00.000Z,260,127
86,114,74,2022-01-24T00:27:00.000Z,2022-01-24T03:16:00.000Z,340,43
78,85,70,2022-01-24T23:57:00.000Z,2022-01-25T00:36:00.000Z,348,224
59,72,55,2022-01-26T23:44:00.000Z,2022-01-27T00:32:00.000Z,308,229
78,104,74,2022-01-28T00:17:00.000Z,2022-01-28T01:14:00.000Z,297,171
77,124,55,2022-01-28T23:10:00.000Z,2022-01-29T00:27:00.000Z,389,156
76,106,54,2022-01-29T23:46:00.000Z,2022-01-30T00:59:00.000Z,327,194
77,93,69,2022-01-30T23:47:00.000Z,2022-01-31T00:50:00.000Z,385,159
80,97,70,2022-02-02T23:37:00.000Z,2022-02-03T00:20:00.000Z,441,191
78,94,59,2022-02-03T23:48:00.000Z,2022-02-04T00:33:00.000Z,380,181
75,91,58,2022-02-04T23:57:00.000Z,2022-02-05T00:29:00.000Z,340,177
76,90,72,2022-02-06T00:42:00.000Z,2022-02-06T01:44:00.000Z,335,191
72,109,55,2022-02-07T23:52:00.000Z,2022-02-08T00:39:00.000Z,323,264
75,82,53,2022-02-09T01:25:00.000Z,2022-02-09T02:06:00.000Z,320,193
77,109,49,2022-02-11T00:59:00.000Z,2022-02-11T01:29:00.000Z,394,127
74,83,55,2022-02-12T01:13:00.000Z,2022-02-12T02:04:00.000Z,311,180
74,106,54,2022-02-13T23:51:00.000Z,2022-02-14T00:44:00.000Z,385,114
60,103,46,2022-02-15T01:47:00.000Z,2022-02-15T02:19:00.000Z,331,176
71,101,52,2022-02-16T00:39:00.000Z,2022-02-16T01:19:00.000Z,299,196
79,94,58,2022-02-17T00:45:00.000Z,2022-02-17T03:00:00.000Z,418,151
64,93,52,2022-02-18T23:40:00.000Z,2022-02-19T00:47:00.000Z,366,235
70,112,47,2022-02-20T01:07:00.000Z,2022-02-20T01:50:00.000Z,294,181
75,94,70,2022-02-20T23:27:00.000Z,2022-02-21T01:31:00.000Z,386,100
56,70,48,2022-02-21T23:20:00.000Z,2022-02-21T23:50:00.000Z,264,230
76,112,67,2022-02-23T00:14:00.000Z,2022-02-23T03:23:00.000Z,389,60
97,121,70,2022-02-24T03:44:00.000Z,2022-02-24T06:43:00.000Z,274,19
