Begin,End,Activity,HRmean,HRmax,HRmin
2022-02-09T07:46:00.000Z, 2022-02-09T07:56:00.000Z, Deep sleep, 62, 76, 52, 
2022-02-09T07:56:00.000Z, 2022-02-09T10:28:00.000Z, Light sleep, 57, 93, 48, 
2022-02-10T01:00:00.000Z, 2022-02-10T01:26:00.000Z, Light sleep, 59, 93, 52, 
2022-02-10T01:26:00.000Z, 2022-02-10T01:39:00.000Z, Deep sleep, 61, 74, 53, 
2022-02-10T01:39:00.000Z, 2022-02-10T02:15:00.000Z, Light sleep, 60, 75, 48, 
2022-02-10T02:15:00.000Z, 2022-02-10T02:32:00.000Z, Deep sleep, 54, 64, 52, 
2022-02-10T02:32:00.000Z, 2022-02-10T02:43:00.000Z, Light sleep, 54, 56, 52, 
2022-02-10T02:43:00.000Z, 2022-02-10T02:54:00.000Z, Deep sleep, 54, 56, 53, 
2022-02-10T02:54:00.000Z, 2022-02-10T03:23:00.000Z, Light sleep, 57, 66, 53, 
2022-02-10T03:23:00.000Z, 2022-02-10T03:35:00.000Z, Deep sleep, 55, 57, 54, 
2022-02-10T03:35:00.000Z, 2022-02-10T03:46:00.000Z, Light sleep, 62, 73, 56, 
2022-02-10T03:46:00.000Z, 2022-02-10T04:20:00.000Z, Deep sleep, null
2022-02-10T04:20:00.000Z, 2022-02-10T05:09:00.000Z, Light sleep, 58, 64, 52, 
2022-02-10T05:09:00.000Z, 2022-02-10T06:09:00.000Z, Deep sleep, 56, 74, 54, 
2022-02-10T06:09:00.000Z, 2022-02-10T06:55:00.000Z, Light sleep, 61, 93, 48, 
2022-02-10T06:55:00.000Z, 2022-02-10T07:21:00.000Z, Deep sleep, 53, 59, 48, 
2022-02-10T07:21:00.000Z, 2022-02-10T09:27:00.000Z, Light sleep, 56, 79, 47, 
2022-02-11T01:29:00.000Z, 2022-02-11T01:49:00.000Z, Deep sleep, 49, 52, 48, 
2022-02-11T01:49:00.000Z, 2022-02-11T02:42:00.000Z, Light sleep, 53, 94, 46, 
2022-02-11T02:42:00.000Z, 2022-02-11T02:56:00.000Z, Deep sleep, 49, 54, 47, 
2022-02-11T02:56:00.000Z, 2022-02-11T03:15:00.000Z, Light sleep, 52, 78, 47, 
2022-02-11T03:15:00.000Z, 2022-02-11T03:29:00.000Z, Deep sleep, 50, 59, 48, 
2022-02-11T03:29:00.000Z, 2022-02-11T04:22:00.000Z, Light sleep, 53, 84, 48, 
2022-02-11T04:22:00.000Z, 2022-02-11T05:01:00.000Z, Deep sleep, 48, 50, 45, 
2022-02-11T05:01:00.000Z, 2022-02-11T05:08:00.000Z, Light sleep, 52, 56, 48, 
2022-02-11T05:08:00.000Z, 2022-02-11T05:38:00.000Z, Deep sleep, 50, 59, 48, 
2022-02-11T05:38:00.000Z, 2022-02-11T08:36:00.000Z, Light sleep, 54, 86, 47, 
2022-02-11T08:36:00.000Z, 2022-02-11T08:46:00.000Z, Deep sleep, 48, 49, 48, 
2022-02-11T08:46:00.000Z, 2022-02-11T10:10:00.000Z, Light sleep, 57, 75, 48, 
2022-02-12T01:43:00.000Z, 2022-02-12T02:04:00.000Z, Light sleep, 64, 79, 55, 
2022-02-12T02:04:00.000Z, 2022-02-12T02:30:00.000Z, Deep sleep, 51, 56, 48, 
2022-02-12T02:30:00.000Z, 2022-02-12T02:40:00.000Z, Light sleep, 54, 55, 53, 
2022-02-12T02:40:00.000Z, 2022-02-12T02:56:00.000Z, Deep sleep, 49, 57, 43, 
2022-02-12T02:56:00.000Z, 2022-02-12T03:07:00.000Z, Light sleep, 52, 56, 48, 
2022-02-12T03:07:00.000Z, 2022-02-12T03:48:00.000Z, Deep sleep, 54, 65, 52, 
2022-02-12T03:48:00.000Z, 2022-02-12T03:59:00.000Z, Light sleep, 51, 55, 48, 
2022-02-12T03:59:00.000Z, 2022-02-12T04:10:00.000Z, Deep sleep, 52, 55, 48, 
2022-02-12T04:10:00.000Z, 2022-02-12T04:56:00.000Z, Light sleep, 57, 75, 47, 
2022-02-12T04:56:00.000Z, 2022-02-12T05:19:00.000Z, Deep sleep, 49, 55, 47, 
2022-02-12T05:19:00.000Z, 2022-02-12T05:48:00.000Z, Light sleep, 50, 55, 48, 
2022-02-12T05:48:00.000Z, 2022-02-12T05:58:00.000Z, Deep sleep, 48, 49, 47, 
2022-02-12T05:58:00.000Z, 2022-02-12T06:33:00.000Z, Light sleep, 53, 61, 48, 
2022-02-12T06:33:00.000Z, 2022-02-12T07:01:00.000Z, Deep sleep, 51, 54, 48, 
2022-02-12T07:01:00.000Z, 2022-02-12T07:12:00.000Z, Light sleep, 50, 54, 48, 
2022-02-12T07:12:00.000Z, 2022-02-12T07:25:00.000Z, Deep sleep, null
2022-02-12T07:25:00.000Z, 2022-02-12T07:36:00.000Z, Light sleep, null
2022-02-12T07:36:00.000Z, 2022-02-12T07:48:00.000Z, Deep sleep, 47, 48, 47, 
2022-02-12T07:48:00.000Z, 2022-02-12T09:54:00.000Z, Light sleep, 54, 92, 48, 
2022-02-14T00:21:00.000Z, 2022-02-14T00:44:00.000Z, Light sleep, 53, 55, 51, 
2022-02-14T00:44:00.000Z, 2022-02-14T00:58:00.000Z, Deep sleep, 57, 73, 49, 
2022-02-14T00:58:00.000Z, 2022-02-14T03:40:00.000Z, Light sleep, 63, 94, 47, 
2022-02-14T03:40:00.000Z, 2022-02-14T04:21:00.000Z, Deep sleep, 55, 63, 49, 
2022-02-14T04:21:00.000Z, 2022-02-14T05:36:00.000Z, Light sleep, 58, 75, 48, 
2022-02-14T05:36:00.000Z, 2022-02-14T05:49:00.000Z, Deep sleep, 51, 55, 48, 
2022-02-14T05:49:00.000Z, 2022-02-14T06:03:00.000Z, Light sleep, 58, 74, 48, 
2022-02-14T06:03:00.000Z, 2022-02-14T06:27:00.000Z, Deep sleep, 55, 70, 48, 
2022-02-14T06:27:00.000Z, 2022-02-14T06:55:00.000Z, Light sleep, 66, 94, 49, 
2022-02-14T06:55:00.000Z, 2022-02-14T07:16:00.000Z, Awake (during sleep cycle), 76, 94, 64, 
2022-02-14T07:16:00.000Z, 2022-02-14T08:10:00.000Z, Light sleep, 67, 94, 52, 
2022-02-14T08:10:00.000Z, 2022-02-14T08:20:00.000Z, Deep sleep, 59, 63, 56, 
2022-02-14T08:20:00.000Z, 2022-02-14T08:44:00.000Z, Light sleep, 73, 78, 55, 
2022-02-14T08:44:00.000Z, 2022-02-14T08:56:00.000Z, Deep sleep, 57, 59, 56, 
2022-02-14T08:56:00.000Z, 2022-02-14T09:01:00.000Z, Light sleep, 64, 64, 64, 
2022-02-15T02:17:00.000Z, 2022-02-15T02:19:00.000Z, Light sleep, null
2022-02-15T02:19:00.000Z, 2022-02-15T03:13:00.000Z, Deep sleep, 48, 51, 46, 
2022-02-15T03:13:00.000Z, 2022-02-15T03:23:00.000Z, Light sleep, 52, 71, 45, 
2022-02-15T03:23:00.000Z, 2022-02-15T03:37:00.000Z, Deep sleep, 46, 48, 41, 
2022-02-15T03:37:00.000Z, 2022-02-15T04:44:00.000Z, Light sleep, 56, 94, 44, 
2022-02-15T04:44:00.000Z, 2022-02-15T05:03:00.000Z, Deep sleep, 46, 57, 42, 
2022-02-15T05:03:00.000Z, 2022-02-15T05:37:00.000Z, Light sleep, 51, 76, 44, 
2022-02-15T05:37:00.000Z, 2022-02-15T06:08:00.000Z, Deep sleep, 48, 51, 48, 
2022-02-15T06:08:00.000Z, 2022-02-15T07:19:00.000Z, Light sleep, 56, 78, 40, 
2022-02-15T07:19:00.000Z, 2022-02-15T08:01:00.000Z, Deep sleep, 49, 57, 45, 
2022-02-15T08:01:00.000Z, 2022-02-15T08:37:00.000Z, Light sleep, 56, 81, 48, 
2022-02-15T08:37:00.000Z, 2022-02-15T08:53:00.000Z, Deep sleep, 47, 51, 41, 
2022-02-15T08:53:00.000Z, 2022-02-15T10:44:00.000Z, Light sleep, 57, 95, 43, 
2022-02-16T01:09:00.000Z, 2022-02-16T01:19:00.000Z, Light sleep, 52, 55, 49, 
2022-02-16T01:19:00.000Z, 2022-02-16T01:46:00.000Z, Deep sleep, 48, 49, 46, 
2022-02-16T01:46:00.000Z, 2022-02-16T01:57:00.000Z, Light sleep, 51, 74, 48, 
2022-02-16T01:57:00.000Z, 2022-02-16T02:17:00.000Z, Deep sleep, 47, 52, 46, 
2022-02-16T02:17:00.000Z, 2022-02-16T02:42:00.000Z, Light sleep, 56, 81, 47, 
2022-02-16T02:42:00.000Z, 2022-02-16T03:23:00.000Z, Deep sleep, 73, 76, 68, 
2022-02-16T03:23:00.000Z, 2022-02-16T03:34:00.000Z, Light sleep, 48, 48, 48, 
2022-02-16T03:34:00.000Z, 2022-02-16T03:59:00.000Z, Deep sleep, 49, 52, 48, 
2022-02-16T03:59:00.000Z, 2022-02-16T05:08:00.000Z, Light sleep, 53, 85, 46, 
2022-02-16T05:08:00.000Z, 2022-02-16T05:57:00.000Z, Deep sleep, null
2022-02-16T05:57:00.000Z, 2022-02-16T06:33:00.000Z, Light sleep, 53, 81, 47, 
2022-02-16T06:33:00.000Z, 2022-02-16T07:07:00.000Z, Deep sleep, 48, 50, 46, 
2022-02-16T07:07:00.000Z, 2022-02-16T09:24:00.000Z, Light sleep, 52, 94, 40, 
2022-02-17T01:15:00.000Z, 2022-02-17T03:00:00.000Z, Light sleep, 64, 94, 53, 
2022-02-17T03:00:00.000Z, 2022-02-17T03:30:00.000Z, Deep sleep, 55, 59, 55, 
2022-02-17T03:30:00.000Z, 2022-02-17T04:10:00.000Z, Light sleep, 56, 75, 49, 
2022-02-17T04:10:00.000Z, 2022-02-17T04:18:00.000Z, Deep sleep, 54, 74, 48, 
2022-02-17T04:18:00.000Z, 2022-02-17T04:41:00.000Z, Light sleep, 55, 74, 48, 
2022-02-17T04:41:00.000Z, 2022-02-17T04:54:00.000Z, Deep sleep, 54, 56, 53, 
2022-02-17T04:54:00.000Z, 2022-02-17T05:08:00.000Z, Light sleep, 56, 71, 52, 
2022-02-17T05:08:00.000Z, 2022-02-17T05:35:00.000Z, Deep sleep, 53, 55, 48, 
2022-02-17T05:35:00.000Z, 2022-02-17T06:39:00.000Z, Light sleep, 58, 78, 48, 
2022-02-17T06:39:00.000Z, 2022-02-17T07:22:00.000Z, Deep sleep, 51, 55, 48, 
2022-02-17T07:22:00.000Z, 2022-02-17T09:23:00.000Z, Light sleep, 56, 86, 48, 
2022-02-17T09:23:00.000Z, 2022-02-17T09:34:00.000Z, Deep sleep, 55, 63, 48, 
2022-02-17T09:34:00.000Z, 2022-02-17T09:48:00.000Z, Light sleep, 54, 75, 45, 
2022-02-17T09:48:00.000Z, 2022-02-17T10:07:00.000Z, Deep sleep, 54, 56, 49, 
2022-02-17T10:07:00.000Z, 2022-02-17T10:44:00.000Z, Light sleep, 66, 86, 49, 
2022-02-18T02:35:00.000Z, 2022-02-18T02:47:00.000Z, Light sleep, 56, 64, 53, 
2022-02-18T02:47:00.000Z, 2022-02-18T03:22:00.000Z, Deep sleep, 56, 65, 54, 
2022-02-18T03:22:00.000Z, 2022-02-18T04:48:00.000Z, Light sleep, 57, 81, 48, 
2022-02-18T04:48:00.000Z, 2022-02-18T04:58:00.000Z, Deep sleep, 54, 55, 54, 
2022-02-18T04:58:00.000Z, 2022-02-18T05:19:00.000Z, Light sleep, 57, 60, 55, 
2022-02-18T05:19:00.000Z, 2022-02-18T05:35:00.000Z, Deep sleep, 55, 57, 52, 
2022-02-18T05:35:00.000Z, 2022-02-18T07:04:00.000Z, Light sleep, 59, 94, 48, 
2022-02-18T07:04:00.000Z, 2022-02-18T07:36:00.000Z, Deep sleep, 52, 55, 48, 
2022-02-18T07:36:00.000Z, 2022-02-18T07:45:00.000Z, Light sleep, 55, 76, 48, 
2022-02-18T07:45:00.000Z, 2022-02-18T07:55:00.000Z, Deep sleep, 48, 52, 47, 
2022-02-18T07:55:00.000Z, 2022-02-18T09:08:00.000Z, Light sleep, 58, 94, 47, 
2022-02-18T09:08:00.000Z, 2022-02-18T09:29:00.000Z, Deep sleep, 52, 56, 48, 
