Begin,End,Activity,HRmean,HRmax,HRmin
2022-03-13T18:02:00.000Z, 2022-03-13T18:08:00.000Z, Walking,86, 99, 79, 
2022-03-13T18:23:00.000Z, 2022-03-13T18:35:00.000Z, Walking,90, 107, 73, 
2022-03-13T18:58:00.000Z, 2022-03-13T19:06:00.000Z, Walking,85, 113, 71, 
2022-03-13T21:18:00.000Z, 2022-03-13T21:22:00.000Z, Walking,104, 109, 91, 
2022-03-14T08:15:00.000Z, 2022-03-14T08:20:00.000Z, Walking,110, 128, 76, 
2022-03-14T08:21:00.000Z, 2022-03-14T08:28:00.000Z, Walking,119, 132, 105, 
2022-03-14T11:50:00.000Z, 2022-03-14T11:56:00.000Z, Walking,96, 100, 89, 
2022-03-14T12:37:00.000Z, 2022-03-14T12:45:00.000Z, Walking,101, 110, 80, 
2022-03-14T17:17:00.000Z, 2022-03-14T17:30:00.000Z, Walking,83, 108, 70, 
2022-03-14T18:44:00.000Z, 2022-03-14T18:49:00.000Z, Walking,116, 119, 114, 
2022-03-14T19:51:00.000Z, 2022-03-14T19:58:00.000Z, Walking,103, 116, 83, 
2022-03-14T19:59:00.000Z, 2022-03-14T20:07:00.000Z, Walking,90, 102, 71, 
2022-03-14T21:43:00.000Z, 2022-03-14T21:47:00.000Z, Walking,89, 96, 85, 
2022-03-15T12:50:00.000Z, 2022-03-15T12:54:00.000Z, Walking,78, 89, 70, 
2022-03-15T18:50:00.000Z, 2022-03-15T18:54:00.000Z, Walking,112, 122, 104, 
2022-03-15T18:55:00.000Z, 2022-03-15T19:01:00.000Z, Walking,96, 111, 82, 
2022-03-15T19:10:00.000Z, 2022-03-15T19:19:00.000Z, Walking,127, 135, 105, 
2022-03-15T19:23:00.000Z, 2022-03-15T19:29:00.000Z, Walking,115, 132, 92, 
2022-03-15T19:36:00.000Z, 2022-03-15T19:53:00.000Z, Other,98, 126, 70, 
2022-03-15T20:05:00.000Z, 2022-03-15T20:09:00.000Z, Walking,106, 116, 89, 
2022-03-15T21:43:00.000Z, 2022-03-15T21:47:00.000Z, Walking,90, 106, 81, 
2022-03-15T22:08:00.000Z, 2022-03-15T22:12:00.000Z, Walking,91, 96, 85, 
2022-03-15T23:35:00.000Z, 2022-03-15T23:45:00.000Z, Walking,112, 124, 90, 
